emax_deg,weight,bits_per_pass,avail_pct,skr_pk_bps
10.0,0.1755,0.0000e+00,0.0,0.0000e+00
15.0,0.1721,0.0000e+00,0.0,0.0000e+00
20.0,0.1675,1.0230e+05,60.0,3.0371e+02
30.0,0.1543,5.8549e+05,60.0,2.1114e+03
40.0,0.1365,1.0622e+06,60.0,4.5846e+03
55.0,0.1022,1.5956e+06,60.0,8.6925e+03
70.0,0.0609,1.8606e+06,60.0,1.2157e+04
80.0,0.0309,1.9182e+06,60.0,1.3589e+04

# n_passes_per_day assumed,5
# expected_bits_per_pass (weighted),5.8833e+05
# expected_bits_per_day,2.9416e+06
