# number_of_decoy=2, n_pulses=1.000e+10
t_s,eta_total,mu_0,mu_1,mu_2,pX_0,pX_1,pX_2,pZ_0,pZ_1,pZ_2
0.00,1.4645e-03,0.465068,0.298870,0.028280,0.446613,0.400450,0.069907,0.025302,0.032736,0.024992
44.17,1.0741e-03,0.434652,0.259896,0.065254,0.198057,0.310624,0.087213,0.135013,0.134788,0.134305
88.35,5.3229e-04,0.815384,0.186137,0.062730,0.015996,0.044194,0.000338,0.297532,0.321747,0.320193
132.52,2.5055e-04,nan,nan,nan,nan,nan,nan,nan,nan,nan
