wavelength_nm,a0,bg_rate_Hz,eta_fs_peak,eta_max,qber_lo,qber_hi,skr_pk,avail
785,0.1500,2000.00,8.0406e-03,1.4645e-03,34.39,2.75,1.3589e+04,60.0
1550,0.0303,131.58,2.0629e-03,5.3726e-04,28.32,3.48,4.4181e+03,52.5
